stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
1-9,recommended,39.5,155.0,56.8,38.0,3.0,89.8,5.34
1-9,balanced,8.0,156.3,55.6,8.0,0.0,23.0,3.35
1-9,physical_only,4.0,158.0,22.9,4.0,0.0,13.1,3.08
1-9,arcane_heavy,7.0,150.8,58.6,7.0,0.5,20.4,3.29
1-9,holy_heavy,5.0,147.7,10.3,5.0,0.0,12.5,3.15
1-9,no_blocker,1.0,161.1,46.0,1.0,0.0,19.7,3.23
1-9,spam_cheapest,0.0,0.0,0.0,0.0,0.0,3.0,2.89
1-9,all_expensive,11.5,159.7,42.8,11.5,0.0,52.2,4.31
1-9,turtle,0.0,0.0,0.0,0.0,0.0,7.7,3.00
