stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
1-7,r_only,100.0,100.0,100.0,96.7,76.7,86.0,4.00
1-8,recommended,100.0,129.5,100.0,96.7,66.7,101.0,5.00
1-8,balanced,100.0,130.4,100.0,93.3,63.3,101.0,5.00
1-8,physical_only,100.0,130.3,100.0,93.3,63.3,101.0,5.00
1-8,arcane_heavy,100.0,130.4,100.0,90.0,63.3,101.0,5.00
1-8,holy_heavy,100.0,144.1,83.3,10.0,3.3,96.8,5.00
1-8,no_blocker,100.0,128.2,100.0,96.7,76.7,101.0,5.00
1-8,spam_cheapest,0.0,0.0,0.0,0.0,0.0,5.1,4.20
1-8,all_expensive,10.0,145.4,18.7,0.0,0.0,46.6,4.30
1-8,turtle,0.0,0.0,0.0,0.0,0.0,22.6,4.20
1-8,siege_heavy,100.0,181.6,38.9,0.0,0.0,85.7,5.00
1-8,c_only,100.0,131.9,64.5,53.3,0.0,92.1,5.00
1-8,r_only,100.0,128.6,100.0,96.7,73.3,101.0,5.00
1-9,recommended,93.3,172.0,99.4,76.7,3.3,147.7,6.00
1-9,balanced,43.3,183.6,97.2,36.7,0.0,118.3,6.00
1-9,physical_only,3.3,179.0,100.0,3.3,0.0,91.7,6.00
1-9,arcane_heavy,26.7,183.6,97.0,20.0,0.0,108.5,6.00
1-9,holy_heavy,3.3,219.4,100.0,3.3,0.0,55.0,6.00
1-9,no_blocker,3.3,161.8,100.0,3.3,0.0,82.0,6.00
1-9,spam_cheapest,0.0,0.0,0.0,0.0,0.0,11.2,6.00
1-9,all_expensive,6.7,173.6,48.5,0.0,0.0,49.7,5.93
1-9,turtle,3.3,308.9,92.0,0.0,0.0,47.6,6.00
1-9,siege_heavy,6.7,182.2,57.0,0.0,0.0,44.2,6.00
1-9,c_only,0.0,0.0,0.0,0.0,0.0,57.8,6.00
1-9,r_only,6.7,181.4,112.0,3.3,0.0,93.8,6.00
1-10,recommended,100.0,149.6,100.0,83.3,10.0,101.0,4.00
1-10,balanced,100.0,166.7,100.0,80.0,0.0,101.0,4.00
1-10,physical_only,100.0,160.5,100.0,80.0,0.0,101.0,4.00
1-10,arcane_heavy,100.0,159.6,100.0,80.0,6.7,100.8,4.00
1-10,holy_heavy,100.0,189.1,89.2,0.0,0.0,97.3,4.00
1-10,no_blocker,100.0,138.4,99.8,83.3,56.7,100.9,4.00
1-10,spam_cheapest,0.0,0.0,0.0,0.0,0.0,23.8,4.00
1-10,all_expensive,100.0,156.3,38.5,6.7,0.0,83.3,4.00
1-10,turtle,100.0,178.4,48.0,0.0,0.0,87.9,4.00
1-10,siege_heavy,100.0,185.6,60.9,0.0,0.0,91.2,4.00
1-10,c_only,100.0,145.5,81.9,33.3,3.3,96.5,4.00
1-10,r_only,100.0,135.8,100.0,100.0,53.3,101.0,4.00
1-11,recommended,100.0,129.3,100.0,93.3,70.0,116.0,5.00
1-11,balanced,100.0,132.7,100.0,90.0,53.3,116.0,5.00
1-11,physical_only,100.0,129.5,100.0,96.7,70.0,116.0,5.00
1-11,arcane_heavy,100.0,131.2,100.0,93.3,46.7,116.0,5.00
1-11,holy_heavy,100.0,151.1,85.1,6.7,3.3,112.3,5.00
1-11,no_blocker,100.0,129.1,99.8,93.3,66.7,115.9,5.00
1-11,spam_cheapest,0.0,0.0,0.0,0.0,0.0,26.1,4.00
1-11,all_expensive,0.0,0.0,0.0,0.0,0.0,34.0,4.00
1-11,turtle,0.0,0.0,0.0,0.0,0.0,29.0,4.00
1-11,siege_heavy,100.0,158.0,59.5,0.0,0.0,105.9,5.00
1-11,c_only,100.0,129.2,61.7,86.7,3.3,106.4,5.00
1-11,r_only,100.0,128.9,99.9,96.7,66.7,116.0,5.00
1-12,recommended,100.0,130.9,100.0,96.7,63.3,83.0,5.00
1-12,balanced,100.0,132.2,100.0,90.0,53.3,83.0,5.00
1-12,physical_only,100.0,130.7,100.0,96.7,63.3,83.0,5.00
1-12,arcane_heavy,100.0,130.3,100.0,93.3,70.0,83.0,5.00
1-12,holy_heavy,100.0,153.5,100.0,80.0,6.7,83.0,5.00
1-12,no_blocker,100.0,128.5,100.0,96.7,76.7,83.0,5.00
1-12,spam_cheapest,0.0,0.0,0.0,0.0,0.0,1.8,5.00
1-12,all_expensive,100.0,139.9,97.2,70.0,13.3,82.4,5.00
1-12,turtle,100.0,170.3,100.0,80.0,0.0,83.0,5.00
