stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
1-7,r_only,100.0,99.8,100.0,96.7,80.0,86.0,4.00
1-8,recommended,100.0,129.5,100.0,96.7,66.7,101.0,5.00
1-8,balanced,100.0,130.4,100.0,93.3,63.3,101.0,5.00
1-8,physical_only,100.0,130.7,100.0,93.3,60.0,101.0,5.00
1-8,arcane_heavy,100.0,130.4,100.0,96.7,70.0,101.0,5.00
1-8,holy_heavy,100.0,144.1,83.3,10.0,3.3,96.8,5.00
1-8,no_blocker,100.0,128.2,100.0,96.7,76.7,101.0,5.00
1-8,spam_cheapest,0.0,0.0,0.0,0.0,0.0,4.8,4.20
1-8,all_expensive,10.0,146.2,16.0,0.0,0.0,46.7,4.30
1-8,turtle,0.0,0.0,0.0,0.0,0.0,22.6,4.20
1-8,siege_heavy,100.0,180.8,38.7,0.0,0.0,85.7,5.00
1-8,c_only,100.0,132.0,64.0,60.0,0.0,92.0,5.00
1-8,r_only,100.0,129.0,100.0,96.7,70.0,101.0,5.00
1-9,recommended,93.3,172.0,99.4,76.7,3.3,147.7,6.00
1-9,balanced,40.0,184.0,88.1,33.3,0.0,117.2,6.00
1-9,physical_only,3.3,173.7,100.0,3.3,0.0,90.6,6.00
1-9,arcane_heavy,20.0,180.7,88.0,16.7,0.0,103.3,6.00
1-9,holy_heavy,3.3,219.4,100.0,3.3,0.0,55.0,6.00
1-9,no_blocker,3.3,140.6,100.0,3.3,0.0,81.1,6.00
1-9,spam_cheapest,0.0,0.0,0.0,0.0,0.0,10.9,6.00
1-9,all_expensive,3.3,166.8,83.0,0.0,0.0,54.1,6.00
1-9,turtle,3.3,308.9,92.0,0.0,0.0,47.6,6.00
1-9,siege_heavy,6.7,184.9,71.0,0.0,0.0,45.2,6.00
1-9,c_only,0.0,0.0,0.0,0.0,0.0,57.0,6.00
1-9,r_only,3.3,168.1,100.0,3.3,0.0,90.3,6.00
1-10,recommended,100.0,149.7,100.0,83.3,10.0,101.0,4.00
1-10,balanced,100.0,166.9,100.0,80.0,0.0,101.0,4.00
1-10,physical_only,100.0,163.7,100.0,80.0,0.0,101.0,4.00
1-10,arcane_heavy,100.0,161.7,100.0,80.0,3.3,100.9,4.00
1-10,holy_heavy,100.0,189.1,89.2,0.0,0.0,97.3,4.00
1-10,no_blocker,100.0,140.6,99.8,80.0,50.0,100.9,4.00
1-10,spam_cheapest,0.0,0.0,0.0,0.0,0.0,23.0,4.00
1-10,all_expensive,96.7,149.5,36.8,16.7,0.0,82.4,4.00
1-10,turtle,100.0,178.4,48.0,0.0,0.0,87.9,4.00
1-10,siege_heavy,100.0,185.0,63.0,0.0,0.0,91.7,4.00
1-10,c_only,100.0,155.2,82.0,13.3,0.0,96.5,4.00
1-10,r_only,100.0,140.6,100.0,93.3,40.0,101.0,4.00
1-11,recommended,100.0,129.3,100.0,93.3,70.0,116.0,5.00
1-11,balanced,100.0,132.7,100.0,90.0,53.3,116.0,5.00
1-11,physical_only,100.0,129.8,100.0,96.7,70.0,116.0,5.00
1-11,arcane_heavy,100.0,131.6,100.0,93.3,46.7,116.0,5.00
1-11,holy_heavy,100.0,151.1,85.1,6.7,3.3,112.3,5.00
1-11,no_blocker,100.0,129.0,99.8,96.7,66.7,115.9,5.00
1-11,spam_cheapest,0.0,0.0,0.0,0.0,0.0,26.1,4.00
1-11,all_expensive,0.0,0.0,0.0,0.0,0.0,34.3,4.00
1-11,turtle,0.0,0.0,0.0,0.0,0.0,29.0,4.00
1-11,siege_heavy,100.0,158.0,58.7,0.0,0.0,105.7,5.00
1-11,c_only,100.0,129.4,61.6,86.7,3.3,106.4,5.00
1-11,r_only,100.0,129.0,99.9,96.7,66.7,116.0,5.00
1-12,recommended,100.0,130.9,100.0,96.7,63.3,83.0,5.00
1-12,balanced,100.0,132.2,100.0,90.0,53.3,83.0,5.00
1-12,physical_only,100.0,130.9,100.0,93.3,63.3,83.0,5.00
1-12,arcane_heavy,100.0,130.1,100.0,96.7,66.7,83.0,5.00
1-12,holy_heavy,100.0,153.5,100.0,80.0,6.7,83.0,5.00
1-12,no_blocker,100.0,128.6,100.0,96.7,76.7,83.0,5.00
1-12,spam_cheapest,0.0,0.0,0.0,0.0,0.0,1.6,5.00
1-12,all_expensive,100.0,140.0,96.3,63.3,13.3,82.3,5.00
1-12,turtle,100.0,170.3,100.0,80.0,0.0,83.0,5.00
1-12,siege_heavy,100.0,165.9,99.7,73.3,0.0,82.9,5.00
1-12,c_only,100.0,131.8,100.0,90.0,53.3,83.0,5.00
1-12,r_only,100.0,128.9,100.0,96.7,70.0,83.0,5.00
1-13,recommended,100.0,130.6,100.0,90.0,63.3,149.0,5.00
1-13,balanced,100.0,134.9,100.0,90.0,33.3,149.0,5.00
1-13,physical_only,100.0,130.7,100.0,93.3,63.3,149.0,5.00
1-13,arcane_heavy,100.0,133.3,100.0,86.7,43.3,149.0,5.00
1-13,holy_heavy,100.0,152.0,81.7,0.0,0.0,144.4,5.00
1-13,no_blocker,100.0,130.4,100.0,93.3,63.3,149.0,5.00
1-13,spam_cheapest,0.0,0.0,0.0,0.0,0.0,23.2,3.00
1-13,all_expensive,0.0,0.0,0.0,0.0,0.0,21.5,3.00
1-13,turtle,0.0,0.0,0.0,0.0,0.0,23.5,3.00
1-13,siege_heavy,90.0,157.1,31.7,0.0,0.0,121.5,4.87
1-13,c_only,100.0,130.3,31.3,76.7,3.3,131.8,5.00
1-13,r_only,100.0,130.2,99.9,90.0,60.0,148.9,5.00
1-14,recommended,100.0,129.5,100.0,96.7,70.0,94.0,5.00
1-14,balanced,100.0,134.8,100.0,83.3,40.0,94.0,5.00
1-14,physical_only,100.0,136.5,100.0,86.7,23.3,94.0,5.00
1-14,arcane_heavy,100.0,137.2,100.0,86.7,30.0,94.0,5.00
1-14,holy_heavy,100.0,165.2,99.3,73.3,3.3,93.9,5.00
1-14,no_blocker,100.0,129.5,99.6,93.3,60.0,93.9,5.00
1-14,spam_cheapest,0.0,0.0,0.0,0.0,0.0,23.9,5.00
1-14,all_expensive,100.0,143.7,88.8,10.0,0.0,90.9,5.00
1-14,turtle,100.0,170.1,100.0,80.0,0.0,94.0,5.00
1-14,siege_heavy,100.0,164.4,97.1,73.3,0.0,93.7,5.00
1-14,c_only,100.0,132.2,100.0,83.3,56.7,94.0,5.00
1-14,r_only,100.0,129.4,97.8,93.3,43.3,93.3,5.00
1-15,recommended,100.0,129.6,96.0,86.7,16.7,88.0,5.00
1-15,balanced,100.0,133.4,100.0,83.3,40.0,89.0,5.00
1-15,physical_only,100.0,130.6,97.1,76.7,10.0,88.3,5.00
1-15,arcane_heavy,100.0,132.1,100.0,90.0,60.0,89.0,5.00
1-15,holy_heavy,100.0,156.6,73.6,3.3,0.0,82.4,5.00
1-15,no_blocker,100.0,128.7,100.0,96.7,70.0,89.0,5.00
1-15,spam_cheapest,0.0,0.0,0.0,0.0,0.0,0.9,4.07
1-15,all_expensive,10.0,144.9,16.0,0.0,0.0,36.6,4.17
1-15,turtle,0.0,0.0,0.0,0.0,0.0,15.3,4.07
1-15,siege_heavy,100.0,173.4,29.5,0.0,0.0,71.4,5.00
1-15,c_only,100.0,130.0,32.8,83.3,0.0,72.2,5.00
1-15,r_only,100.0,128.9,100.0,96.7,70.0,89.0,5.00
1-16,recommended,100.0,130.6,100.0,96.7,60.0,81.0,5.00
1-16,balanced,100.0,132.5,100.0,86.7,50.0,81.0,5.00
1-16,physical_only,100.0,136.6,100.0,80.0,26.7,81.0,5.00
1-16,arcane_heavy,100.0,139.0,100.0,80.0,23.3,81.0,5.00
1-16,holy_heavy,100.0,160.7,99.6,73.3,6.7,80.9,5.00
1-16,no_blocker,100.0,129.4,100.0,96.7,70.0,81.0,5.00
1-16,spam_cheapest,0.0,0.0,0.0,0.0,0.0,2.1,5.00
1-16,all_expensive,100.0,143.3,91.9,43.3,6.7,79.4,5.00
1-16,turtle,100.0,175.5,100.0,80.0,0.0,81.0,5.00
1-16,siege_heavy,83.3,166.9,76.6,30.0,0.0,70.1,5.00
1-16,c_only,100.0,131.6,100.0,90.0,60.0,81.0,5.00
1-16,r_only,100.0,128.9,100.0,96.7,70.0,81.0,5.00
1-17,recommended,100.0,129.6,100.0,93.3,70.0,98.0,5.00
1-17,balanced,100.0,136.2,100.0,86.7,46.7,98.0,5.00
1-17,physical_only,100.0,133.4,100.0,90.0,46.7,98.0,5.00
1-17,arcane_heavy,100.0,130.8,100.0,93.3,60.0,98.0,5.00
1-17,holy_heavy,100.0,156.3,77.3,6.7,0.0,92.3,5.00
1-17,no_blocker,100.0,129.2,99.7,93.3,66.7,97.9,5.00
1-17,spam_cheapest,0.0,0.0,0.0,0.0,0.0,21.5,5.00
1-17,all_expensive,100.0,138.4,7.8,20.0,0.0,74.3,5.00
1-17,turtle,100.0,174.0,16.0,0.0,0.0,77.0,5.00
1-17,siege_heavy,100.0,166.6,43.3,0.0,0.0,83.8,5.00
1-17,c_only,100.0,129.1,60.5,86.7,3.3,88.1,5.00
1-17,r_only,100.0,129.3,100.0,96.7,66.7,98.0,5.00
1-18,recommended,100.0,129.5,100.0,96.7,70.0,104.0,5.00
1-18,balanced,100.0,134.6,100.0,83.3,36.7,104.0,5.00
1-18,physical_only,100.0,133.6,100.0,86.7,46.7,104.0,5.00
1-18,arcane_heavy,100.0,133.4,100.0,90.0,53.3,104.0,5.00
1-18,holy_heavy,100.0,159.3,72.3,3.3,0.0,97.0,5.00
1-18,no_blocker,100.0,129.3,99.0,93.3,36.7,103.5,5.00
1-18,spam_cheapest,0.0,0.0,0.0,0.0,0.0,24.3,5.00
1-18,all_expensive,100.0,138.3,9.1,16.7,0.0,79.6,5.00
1-18,turtle,100.0,177.1,16.0,0.0,0.0,83.0,5.00
1-18,siege_heavy,100.0,168.0,47.5,0.0,0.0,90.9,5.00
1-18,c_only,100.0,129.6,51.2,86.7,3.3,91.8,5.00
1-18,r_only,100.0,128.9,99.5,96.7,50.0,103.7,5.00
1-19,recommended,100.0,138.7,100.0,90.0,53.3,144.0,6.00
1-19,balanced,100.0,140.3,100.0,83.3,40.0,144.0,6.00
1-19,physical_only,100.0,145.6,99.7,73.3,16.7,143.9,6.00
1-19,arcane_heavy,100.0,142.9,100.0,80.0,33.3,144.0,6.00
1-19,holy_heavy,100.0,178.0,49.9,3.3,0.0,131.2,6.00
1-19,no_blocker,100.0,136.7,99.7,90.0,63.3,143.9,6.00
1-19,spam_cheapest,0.0,0.0,0.0,0.0,0.0,19.6,3.07
1-19,all_expensive,0.0,0.0,0.0,0.0,0.0,25.2,3.00
1-19,turtle,0.0,0.0,0.0,0.0,0.0,28.6,3.10
1-19,siege_heavy,66.7,168.6,33.5,0.0,0.0,91.3,5.30
1-19,c_only,96.7,141.9,29.8,40.0,0.0,123.6,5.93
1-19,r_only,100.0,136.9,99.6,86.7,60.0,143.9,6.00
1-20,recommended,100.0,210.7,93.2,10.0,0.0,107.3,6.00
1-20,balanced,93.3,253.3,100.0,76.7,0.0,108.9,6.00
1-20,physical_only,100.0,263.5,92.8,6.7,0.0,107.2,6.00
1-20,arcane_heavy,86.7,244.8,100.0,73.3,0.0,108.9,6.00
1-20,holy_heavy,96.7,296.9,58.8,0.0,0.0,97.5,6.00
1-20,no_blocker,13.3,208.7,100.0,10.0,0.0,108.1,6.00
1-20,spam_cheapest,0.0,0.0,0.0,0.0,0.0,1.5,4.00
1-20,all_expensive,0.0,0.0,0.0,0.0,0.0,42.4,4.17
1-20,turtle,0.0,0.0,0.0,0.0,0.0,17.2,4.00
1-20,siege_heavy,53.3,259.1,15.0,0.0,0.0,69.8,5.80
