stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
2-14,recommended,100.0,139.1,107.9,100.0,74.0,90.0,6.00
2-14,balanced,100.0,155.0,106.3,100.0,72.0,89.9,6.00
2-14,physical_only,98.0,160.4,99.7,98.0,58.0,89.0,6.00
2-14,arcane_heavy,98.0,156.3,98.9,98.0,56.0,89.0,6.00
2-14,holy_heavy,34.0,171.1,85.6,28.0,16.0,55.0,5.44
2-14,no_blocker,100.0,146.8,98.3,100.0,14.0,88.0,6.00
2-14,spam_cheapest,4.0,185.7,110.0,4.0,2.0,16.2,3.98
2-14,all_expensive,100.0,149.7,98.7,100.0,16.0,87.9,6.00
2-14,turtle,50.0,184.5,91.6,40.0,14.0,73.4,6.00
2-14,c_only,98.0,155.2,107.6,96.0,68.0,89.1,6.00
2-14,r_only,100.0,162.1,97.1,100.0,38.0,88.9,6.00
2-15,recommended,100.0,138.0,59.8,100.0,0.0,89.7,6.00
2-15,balanced,100.0,141.4,73.5,100.0,0.0,92.5,6.00
2-15,physical_only,100.0,143.7,59.8,100.0,0.0,89.8,6.00
2-15,arcane_heavy,100.0,144.6,89.9,100.0,8.0,95.8,6.00
2-15,holy_heavy,34.0,149.5,31.6,34.0,0.0,53.8,5.56
2-15,no_blocker,100.0,138.0,82.8,100.0,4.0,96.9,6.00
2-15,spam_cheapest,0.0,0.0,0.0,0.0,0.0,13.9,4.44
2-15,all_expensive,100.0,139.3,55.7,100.0,0.0,91.3,6.00
2-15,turtle,0.0,0.0,0.0,0.0,0.0,37.4,4.96
2-15,c_only,16.0,144.0,23.1,16.0,0.0,57.2,5.28
2-15,r_only,96.0,141.8,28.4,96.0,0.0,81.8,5.92
2-16,recommended,100.0,116.5,107.8,100.0,76.0,59.6,4.78
2-16,balanced,100.0,141.8,107.8,100.0,76.0,67.8,5.00
2-16,physical_only,100.0,106.8,107.3,100.0,74.0,44.0,4.28
2-16,arcane_heavy,100.0,126.3,107.8,100.0,76.0,62.0,4.98
2-16,holy_heavy,84.0,173.1,93.2,40.0,12.0,62.5,5.00
2-16,no_blocker,100.0,72.3,101.2,100.0,8.0,22.8,2.82
2-16,spam_cheapest,12.0,261.2,107.5,10.0,0.0,15.0,4.28
2-16,all_expensive,100.0,117.2,102.9,100.0,16.0,58.5,4.76
2-16,turtle,94.0,180.9,101.0,68.0,6.0,66.0,5.00
2-16,c_only,100.0,101.4,107.9,100.0,78.0,41.8,4.02
2-16,r_only,100.0,101.1,107.7,100.0,76.0,42.7,4.16
2-17,recommended,100.0,136.2,102.4,100.0,24.0,130.7,6.00
2-17,balanced,100.0,139.3,101.2,100.0,18.0,130.4,6.00
2-17,physical_only,100.0,136.5,101.8,100.0,20.0,129.9,6.00
2-17,arcane_heavy,100.0,143.7,107.4,100.0,66.0,131.9,6.00
2-17,holy_heavy,90.0,152.8,44.0,90.0,0.0,110.1,5.80
2-17,no_blocker,100.0,136.1,101.3,100.0,16.0,129.3,6.00
2-17,spam_cheapest,8.0,148.1,7.0,8.0,0.0,30.0,3.42
2-17,all_expensive,100.0,137.6,93.8,100.0,12.0,126.5,6.00
2-17,turtle,84.0,156.2,13.3,84.0,0.0,100.7,5.62
2-17,c_only,84.0,138.4,17.4,84.0,0.0,102.7,5.62
2-17,r_only,100.0,136.7,75.0,100.0,0.0,123.9,6.00
2-18,recommended,100.0,78.8,108.3,100.0,86.0,41.4,3.00
2-18,balanced,100.0,78.8,108.3,100.0,86.0,37.4,3.00
2-18,physical_only,100.0,78.8,106.6,100.0,66.0,38.8,3.00
2-18,arcane_heavy,100.0,78.8,108.3,100.0,86.0,38.5,3.00
2-18,holy_heavy,100.0,78.8,63.5,100.0,14.0,23.5,3.00
2-18,no_blocker,100.0,78.8,78.8,100.0,0.0,37.9,3.00
2-18,spam_cheapest,72.0,78.8,39.9,72.0,10.0,9.9,3.00
2-18,all_expensive,100.0,78.8,89.4,100.0,6.0,39.1,3.00
2-18,turtle,100.0,78.8,107.2,100.0,80.0,27.2,3.00
2-18,c_only,100.0,78.8,108.3,100.0,86.0,38.3,3.00
2-18,r_only,100.0,78.8,103.1,100.0,54.0,38.8,3.00
2-19,recommended,100.0,139.9,38.8,100.0,0.0,102.5,6.00
2-19,balanced,100.0,144.5,53.6,100.0,0.0,105.5,6.00
2-19,physical_only,100.0,147.0,34.7,100.0,0.0,101.8,6.00
2-19,arcane_heavy,100.0,146.8,86.7,100.0,4.0,112.2,6.00
2-19,holy_heavy,6.0,151.0,15.3,6.0,0.0,35.3,4.36
2-19,no_blocker,100.0,137.6,90.5,100.0,18.0,114.8,6.00
2-19,spam_cheapest,0.0,0.0,0.0,0.0,0.0,3.1,2.04
2-19,all_expensive,90.0,143.4,41.1,90.0,0.0,97.4,5.70
2-19,turtle,0.0,0.0,0.0,0.0,0.0,2.5,2.06
2-19,c_only,0.0,0.0,0.0,0.0,0.0,6.3,2.06
2-19,r_only,92.0,141.4,21.3,92.0,0.0,95.1,5.82
2-20,recommended,90.0,219.9,55.3,6.0,0.0,61.8,5.00
2-20,balanced,34.0,268.8,80.3,0.0,0.0,64.3,5.00
2-20,physical_only,22.0,276.7,20.2,0.0,0.0,53.4,4.98
2-20,arcane_heavy,22.0,261.7,96.5,2.0,0.0,69.3,5.00
2-20,holy_heavy,48.0,309.8,37.5,0.0,0.0,54.3,5.00
2-20,no_blocker,0.0,0.0,0.0,0.0,0.0,68.8,5.00
2-20,spam_cheapest,0.0,0.0,0.0,0.0,0.0,3.2,4.04
2-20,all_expensive,0.0,0.0,0.0,0.0,0.0,65.7,5.00
2-20,turtle,0.0,0.0,0.0,0.0,0.0,10.7,4.04
2-20,c_only,0.0,0.0,0.0,0.0,0.0,24.3,4.14
2-20,r_only,40.0,254.1,27.3,0.0,0.0,56.0,5.00
