stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
1-1,recommended,100.0,44.3,99.2,100.0,98.0,22.0,1.00
1-1,balanced,100.0,46.5,99.2,100.0,98.0,22.0,1.00
1-1,physical_only,100.0,42.1,99.2,100.0,98.0,22.0,1.00
1-1,arcane_heavy,100.0,50.1,99.2,100.0,88.0,22.0,1.00
1-1,holy_heavy,100.0,63.6,99.2,98.0,4.0,22.0,1.00
1-1,no_blocker,100.0,45.2,99.2,100.0,98.0,22.0,1.00
1-1,spam_cheapest,100.0,62.2,99.2,100.0,42.0,22.0,1.00
1-1,all_expensive,100.0,45.6,99.2,100.0,98.0,22.0,1.00
1-1,turtle,100.0,57.5,99.2,100.0,98.0,22.0,1.00
1-1,c_only,100.0,39.7,99.2,100.0,98.0,22.0,1.00
1-1,r_only,100.0,40.2,99.2,100.0,98.0,22.0,1.00
1-2,recommended,100.0,49.0,99.2,100.0,98.0,25.0,1.00
1-2,balanced,100.0,47.5,99.2,100.0,98.0,25.0,1.00
1-2,physical_only,100.0,46.8,99.2,100.0,98.0,25.0,1.00
1-2,arcane_heavy,100.0,46.0,99.2,100.0,98.0,25.0,1.00
1-2,holy_heavy,100.0,64.5,99.2,100.0,70.0,25.0,1.00
1-2,no_blocker,100.0,44.5,99.2,100.0,98.0,25.0,1.00
1-2,spam_cheapest,100.0,87.0,99.2,98.0,40.0,25.0,1.00
1-2,all_expensive,100.0,47.0,99.2,100.0,98.0,25.0,1.00
1-2,turtle,100.0,69.4,99.2,100.0,42.0,25.0,1.00
1-2,c_only,100.0,54.1,99.2,100.0,88.0,25.0,1.00
1-2,r_only,100.0,46.0,99.2,100.0,98.0,25.0,1.00
1-3,recommended,100.0,47.1,99.2,100.0,98.0,31.0,1.00
1-3,balanced,100.0,51.3,99.2,100.0,94.0,31.0,1.00
1-3,physical_only,100.0,48.2,99.2,100.0,98.0,31.0,1.00
1-3,arcane_heavy,100.0,51.9,99.2,100.0,98.0,31.0,1.00
1-3,holy_heavy,100.0,64.2,99.2,100.0,86.0,31.0,1.00
1-3,no_blocker,100.0,50.4,99.1,100.0,92.0,30.9,1.00
1-3,spam_cheapest,100.0,74.5,99.2,100.0,70.0,31.0,1.00
1-3,all_expensive,100.0,51.6,98.3,100.0,54.0,30.6,1.00
1-3,turtle,100.0,64.2,99.2,100.0,98.0,31.0,1.00
1-3,c_only,100.0,51.1,99.2,100.0,98.0,31.0,1.00
1-3,r_only,100.0,49.0,99.2,100.0,98.0,31.0,1.00
1-4,recommended,100.0,57.9,98.7,100.0,92.0,40.0,2.00
1-4,balanced,100.0,68.2,98.7,100.0,88.0,40.0,2.00
1-4,physical_only,100.0,57.5,98.7,100.0,92.0,40.0,2.00
1-4,arcane_heavy,100.0,61.7,98.7,100.0,92.0,40.0,2.00
1-4,holy_heavy,100.0,83.2,98.7,94.0,30.0,40.0,2.00
1-4,no_blocker,100.0,58.1,98.7,100.0,92.0,40.0,2.00
1-4,spam_cheapest,12.0,58.1,100.0,12.0,12.0,32.1,2.00
1-4,all_expensive,100.0,59.9,98.3,100.0,86.0,39.9,2.00
1-4,turtle,100.0,77.7,98.7,94.0,28.0,40.0,2.00
1-4,c_only,100.0,57.5,98.7,100.0,92.0,40.0,2.00
1-4,r_only,100.0,57.6,98.7,100.0,92.0,40.0,2.00
1-5,recommended,100.0,71.3,98.7,100.0,92.0,36.0,2.00
1-5,balanced,100.0,81.2,98.7,100.0,92.0,36.0,2.00
1-5,physical_only,100.0,76.5,98.7,100.0,92.0,36.0,2.00
1-5,arcane_heavy,100.0,74.6,98.7,100.0,92.0,36.0,2.00
1-5,holy_heavy,100.0,93.9,98.7,92.0,48.0,36.0,2.00
1-5,no_blocker,100.0,70.6,98.7,100.0,92.0,36.0,2.00
1-5,spam_cheapest,12.0,68.4,100.0,12.0,12.0,6.5,2.00
1-5,all_expensive,100.0,71.8,98.7,100.0,92.0,36.0,2.00
1-5,turtle,100.0,108.0,98.7,92.0,12.0,36.0,2.00
1-5,c_only,100.0,78.7,98.7,100.0,92.0,36.0,2.00
1-5,r_only,100.0,69.6,98.7,100.0,92.0,36.0,2.00
1-6,recommended,100.0,79.5,98.4,100.0,86.0,60.1,3.00
1-6,balanced,100.0,52.0,98.7,100.0,92.0,25.6,2.00
1-6,physical_only,100.0,51.4,98.7,100.0,92.0,28.4,2.02
1-6,arcane_heavy,100.0,81.3,98.4,100.0,86.0,58.2,3.00
1-6,holy_heavy,100.0,91.9,98.4,100.0,86.0,56.5,3.00
1-6,no_blocker,100.0,47.6,98.7,100.0,92.0,30.5,1.96
1-6,spam_cheapest,100.0,49.6,63.9,100.0,0.0,7.8,2.00
1-6,all_expensive,100.0,83.7,98.4,100.0,86.0,60.7,3.00
1-6,turtle,100.0,118.5,27.4,14.0,0.0,42.7,3.00
1-6,c_only,100.0,42.8,75.0,100.0,0.0,5.7,1.56
1-6,r_only,100.0,62.6,98.2,100.0,86.0,44.3,2.28
1-7,recommended,100.0,101.0,97.5,100.0,76.0,86.0,4.00
